1.0000,-0.0822,-0.0945,-0.0952,-0.0896,-0.0730,-0.1043,-0.1039,-0.0850,-0.1035,-0.0884,-0.0758
-0.0822,1.0000,-0.0919,-0.0813,-0.0941,-0.0891,-0.0784,-0.0894,-0.0899,-0.0952,-0.0799,-0.0979
-0.0945,-0.0919,1.0000,-0.1019,-0.1002,-0.0930,-0.0918,-0.0918,-0.0960,-0.1051,-0.0911,-0.0966
-0.0952,-0.0813,-0.1019,1.0000,-0.0868,-0.0840,-0.0929,-0.1081,-0.0814,-0.0879,-0.0968,-0.0878
-0.0896,-0.0941,-0.1002,-0.0868,1.0000,-0.0998,-0.0787,-0.0862,-0.1046,-0.1137,-0.0899,-0.0868
-0.0730,-0.0891,-0.0930,-0.0840,-0.0998,1.0000,-0.0752,-0.0758,-0.0836,-0.0891,-0.0836,-0.1134
-0.1043,-0.0784,-0.0918,-0.0929,-0.0787,-0.0752,1.0000,-0.0988,-0.0806,-0.0872,-0.0989,-0.0868
-0.1039,-0.0894,-0.0918,-0.1081,-0.0862,-0.0758,-0.0988,1.0000,-0.0833,-0.0898,-0.1014,-0.0821
-0.0850,-0.0899,-0.0960,-0.0814,-0.1046,-0.0836,-0.0806,-0.0833,1.0000,-0.0986,-0.0968,-0.0792
-0.1035,-0.0952,-0.1051,-0.0879,-0.1137,-0.0891,-0.0872,-0.0898,-0.0986,1.0000,-0.0858,-0.0857
-0.0884,-0.0799,-0.0911,-0.0968,-0.0899,-0.0836,-0.0989,-0.1014,-0.0968,-0.0858,1.0000,-0.0844
-0.0758,-0.0979,-0.0966,-0.0878,-0.0868,-0.1134,-0.0868,-0.0821,-0.0792,-0.0857,-0.0844,1.0000
